"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"235",115,"nm","stroop","ic","pz",6.97511189813503,2.34794551757471,0.156911856166879,0.964847640804417
"236",116,"nm","stroop","ic","pz",9.637,3.69428237862702,0.153714415927076,0.98331093201424
"237",117,"mus","stroop","ic","pz",6.572,3.03150354160764,0.0300691734781493,0.506953769288935
"238",121,"nm","stroop","ic","pz",7.054,-1.15648402526624,0.125577094771104,0.963055358503223
"239",122,"mus","stroop","ic","pz",9.7650037499375,9.49005833236113,0.0189757658800921,0.352973776796272
"240",123,"mus","stroop","ic","pz",4.85724004599923,-1.66087011883135,0.19972848497343,0.984945645749192
"241",124,"mus","stroop","ic","pz",2.60743354277429,1.03976727054549,0.0673032669152484,0.858480801402671
"242",126,"mus","stroop","ic","pz",2.16318709688172,2.13952759120681,-0.0146377116020498,0.120870000272269
"243",128,"nm","stroop","ic","pz",4.9250466658889,-3.04897713371444,0.147457346985898,0.959968730530321
"244",129,"nm","stroop","ic","pz",5.60180756987384,-2.18527117881369,0.117218689048643,0.808895264134707
"245",130,"nm","stroop","ic","pz",6.94484535257746,1.21534471092148,0.138161639972667,0.926208722293409
"246",131,"nm","stroop","ic","pz",8.85581823636273,3.82117548040866,0.123463373029626,0.93388652011939
"247",132,"mus","stroop","ic","pz",5.39573638772687,-0.240416076398727,0.108197210816607,0.687425520086737
"248",103,"mus","stroop","c","pz",7.90247664205596,-0.723997583373611,0.113860549272535,0.951400717303725
"249",104,"nm","stroop","c","pz",6.757,-0.0462846785886898,0.134359093952444,0.991854767832627
"250",105,"nm","stroop","c","pz",3.41273420442993,-2.18274237096048,0.168982312305591,0.980452343159265
"251",106,"nm","stroop","c","pz",4.56435122747954,2.6675285078582,0.0231516205400673,0.528251498408985
"252",108,"mus","stroop","c","pz",-1.72547322544624,-2.33021531307812,0.0282383979779199,0.20535484021186
"253",109,"nm","stroop","c","pz",-2.33088391860136,-5.95206469892168,0.097297772568249,0.983578211930778
"254",110,"mus","stroop","c","pz",3.43952647455876,1.38970503824936,0.114305419238684,0.985464390683833
"255",111,"mus","stroop","c","pz",9.305,-1.1902447459209,0.170863312360071,0.840290791518581
"256",112,"mus","stroop","c","pz",7.52400193330111,5.62576317061382,-0.0173789483882028,0.0992083755023623
"257",113,"nm","stroop","c","pz",4.57468100531658,6.21739262678956,-0.166758836070681,0.898405619528814
"258",115,"nm","stroop","c","pz",7.5833614939751,2.73931592806787,0.0688415466390813,0.603680490438722
"259",116,"nm","stroop","c","pz",8.47627027882869,4.52371775470409,0.113719635731809,0.979931665463235
"260",117,"mus","stroop","c","pz",8.201,3.70036621056316,0.0591043292402003,0.716478839754199
"261",121,"nm","stroop","c","pz",8.894,-1.66982066965551,0.18658391930667,0.995280220595503
"262",122,"mus","stroop","c","pz",9.9962978617023,10.0352884118598,0.00370512064181147,0.0844293641185294
"263",123,"mus","stroop","c","pz",2.50690521824636,-0.529833769437176,0.175957924284925,0.967195843635283
"264",124,"mus","stroop","c","pz",3.17544277595373,-0.740482958617356,0.0875277341425073,0.930117239391153
"265",126,"mus","stroop","c","pz",2.22169188846853,1.59168522191297,-0.0184358661237196,0.245794568170572
"266",128,"nm","stroop","c","pz",3.9645618239696,-3.65398346694222,0.155385599713689,0.947937306876524
"267",129,"nm","stroop","c","pz",7.15375682071965,-1.81328996183397,0.172011467380425,0.863334152416315
"268",130,"nm","stroop","c","pz",8.239,2.14883270278829,0.120479017253019,0.940322317867177
"269",131,"nm","stroop","c","pz",11.0891968633856,4.48326322894618,0.195932480270725,0.968778396075079
"270",132,"mus","stroop","c","pz",6.621,-0.794837802703288,0.160106034670427,0.90918077349503
